Feature,Coefficient,Odds_Ratio
const,5.130422397297928,169.08852549894908
dreb_pct,4.986281038497528,146.39098744987714
ast_pct,3.3698091797470187,29.072978815282937
ts_pct_lag1,1.092357272688951,2.9812935177265287
oreb_pct,0.8072442377520579,2.241721814434834
usg_pct_lag1,0.5017654036087323,1.6516344999372938
pos_proxy_Wing (proxy),0.09337360479988653,1.0978718288417637
pts_lag1,0.054885095284909154,1.0564192201517182
net_rating,0.02815183883588557,1.028551846680425
ast_lag1,0.019813244944094997,1.0200108300583683
net_rating_lag1,0.01669875465226551,1.0168389581766244
gp,0.0007301107886809357,1.0007303773844403
player_weight,-0.002250050659547431,0.9977524788069396
player_height,-0.0037236862135963927,0.9962832381085782
reb_lag1,-0.02527648254785406,0.9750402931330848
pts,-0.0730725872209688,0.9295333553338607
reb,-0.08289962192448425,0.9204435349338542
pos_proxy_Guard (proxy),-0.08806834419189415,0.9156982919249158
ast,-0.11543991599662061,0.890974103919934
age,-0.15886117200035885,0.8531147869677193
usg_pct,-0.7988602383508832,0.4498413840011539
ts_pct,-2.0027976659779854,0.1349571894557438
